,0,1,2,3
0,sepultura,Bestial Devastation,The Curse,"The curse is launched, beware
The Lord of Death declared the war
Satanas is invoked to destroy
And to command the bestial
Devastation"
1,sepultura,Bestial Devastation,Bestial Devastation,"A legion of demons
Born from boundaries of death
Like a onslaught of evil
To destroy this Earth

Covering the morbid skies
Like a mist of sulphur
I can see Satanas
The cursed of death
Terminate masses and reigns
With blood axes of hate
The beasts of son of devil
Tormenting the preachers of Christ

The humans try to react
To this nuclear war
Which is like a endless pain
Burning in the fire of Hell"
2,sepultura,Bestial Devastation,Antichrist,"Born from Hell
The supreme force of evil
To destroy the altar
And slaughter the Christians born

Churches will be destroyed
Crosses will be broken
He's laughing in blasphemy
Like a domination of death

Antichrist

The war is started
Heaven's on fire
From the deep of Hell
Leaving words of hate

Antichrist

The terror is declared
The final fight started
The Antichrist and Lucifer
Fighting with angels and God

Antichrist"
3,sepultura,Bestial Devastation,Necromancer,"The misfits high in this night
Can feel the presence of death
Way to the mortuary
So the deaths invoke
Corpses and skulls
In my contour
See a corpse's blood
With the face
In cruciform
All will be for wrath

Catch the skulls
Of a children
Frozen and dismal
Coming with me
Creature
Kill in name of Hell
The black mess
Is started
Lifes will terminate
With the wrath
Of the demons
Started the genocide

Wrath
In my corpus is born
Death
Lost legions from Hell
Slaughter
You'll see in sacrifice
Skulls
Are christians with blood
Necromancer
Deads invoker
Necromancer
Deads invoker
Wrath, odious, desire
In my corpus is born
The fates last, terror's spread
For a necros creature of
The crypts"
4,sepultura,Bestial Devastation,Warriors Of Death,"Marching over the mist
Leaving behind the weakest
Going this endless war
Like a torment's nightmare

Over the devastated ruins
I raised a sign
The sign of hate
For a masses despair

To revenge the years
Arrested in abyss
Where Jesus Christ
Made his suffer

But the final command
Is happening here now
Which I see is the ruins
And warriors marching to death"
5,sepultura,Morbid Visions,Morbid Visions,"Yeah

The Roman empire has crucified the messiah
The bestial power as suffered for your god
Feared by this power, the cross he'll carry
And visions of destruction, this night you'll see

Crucified, killed, buried
Sacrificed messiah
Kneeled down, blood stained

The Christians, today they still cry
But the bastards adore images
Remembrances from the past, from the crucifixion
Rotting Christ, nailed to cross

From the semen of the mankind
We'll spread our seed
And we'll show to the devoted
The truth, painful truth

Cry preachers
Because your gods have forgotten
The Antichrist there is to prove
Death and destruction will still reign"
6,sepultura,Morbid Visions,Mayhem,"Endless war, endless screams
In the boundaries of Hell we live
Total death, total hate
On the devastated plains we fight
Evil minds, insane minds
Mutilated corpses over the ground
Soldiers of hell, soldiers of death
Seeking victims to exterminate

Black death, black night
Where the spirits leave their crypts
Torture souls, drifting souls
By the world of hate
Multi-radiation, multi-death
Destroys and kills
Even in the deep of Hell
Fallen corpse, fallen angel
Total injury is the only rule

Mayhem

Death, slaughter, death rules
Under the sign of fear we live
Bestial lust, bestial rites
Darkness send its bestial warriors
Shrill cries, tormenting cries
Break the silence of the dark night
Living with hate, living with death
Giving the world total destruction

Blood world, rotting world
Corrosion of insane human mind
Black pest, devastating pest
Under the evoking circle we pray
Baptized skulls, evil skulls
People screaming, chained underground
There is no return, there is no escape
In the evil refuge you are slaves

Mayhem"
7,sepultura,Morbid Visions,Troops Of Doom,"Total eclipse hides the earth
The night of doom has come
Antichrist soldiers are proclaimed
To send souls to Hell

Catastrophe and destruction
Mankind is slaughtered without mercy
Sulphur clouds are in the air
Legions winds corrode the universe

The messiah, redeemers of mankind
Chained in the valley of Hades
Crowds blinded by evil
Only death is real
Total destruction
Walls of churches
Stained by blood
Altars burning in the flames
The doom cries out for insanity

The nuclear war announces the end of the world
The mankind is buried and forgotten
Prophets foresee the doom
They foresee the triumph of your death"
8,sepultura,Morbid Visions,War,"War!

Nuclear warheads cry out for destruction 
Insanity and corruption of the universe 
Concentration camps are back again 
Third Reich is here between us 

Total slaughter is only rule 
Kill to live, live to kill 
Mass extermination, black death 
The corrosion of the world is done 

War!

The radiation corrodes our faces 
Over mutilated corpses we have to march 
Destructed empires, where's God now? 
That calls himself the redeemer of the mankind 

Infernal visions torment our minds 
Pools of blood spread through the world 
Christians cry in torment 
Asking for help to their redeemer 

War!

The black sunset breaks out the silence 
The last scream of pain is heard 
Death burns its victims 
Sending their souls to hell 
Feel the blade in your sacrifice 
Now it's the time to abjure gods 
The black war comes with the wind 
There is neither heaven nor hell, but only war 

Massacring the ones
Mutilating the fools 
The black death empire 
Exterminating without mercy 

War!

Nuclear warheads cry out for destruction 
Insanity and corruption of the universe 
Concentration camps are back again 
Third Reich is here between us 

Total slaughter is the onle rule 
Kill to live, live to kill 
Mass extermination, black death 
The corrosion of the world is done 

War!"
9,sepultura,Morbid Visions,Crucifixion,"We deny God's rule
We defy his supreme force
Crucified by the dark power
His death was a glory
Forgotten by our mind forever
He's left the churches to torment us
We'll destroy the high altar
Until we see the ashes of pain

Crucifixion

We'll show to the world our hate
The priests will have their final torment
We'll spit on the churches, we have an ideal
Black tortures you'll feel
The mankind goes to suicide
They have faith in gods as false as their name
Christ, preacher of goodness and beauty
Gods, preachers of lies and destruction

The god's grave doors
Is below his brains
Rottenness and dirtiness go out
By a simple prayer of mercy
The reason of his death will be your blame
Your master is buried in the abyss
The dead, they already celebrate his arrival
In the altar of fallen gods, throne of his own existence"
10,sepultura,Morbid Visions,Show Me The Wrath,"Evil warrior
Fight till death
Sons of war
Kill with wrath
Born in a village
He's learned to fight
Grew up with strength
His pleasure is to kill

Sons of evil
He is insane
Maniac butcher
He is feared
He doesn't have religion
Killing is what he wants
Too false and fools
He there is to torture

Gods of the storm
Infernal death
The blood of victims
Gushes on my hands
Show me the wrath

On the frozen lands
He is born
Living among the barbarian
Violence is his business
He's forget his sword
On the fire of Pandemonium
Blessed by Hell
Feared by Christians

His destiny
Is to keep killing
Wild life
Malign creature
The holy temple
He will destroy
He'll dethrone gods
He'll be emperor of death"
11,sepultura,Morbid Visions,Funeral Rites,"The doom is near in this night
Bloody skulls are over the pentagram
Cry for the sabbath bells
Fallen angels scream for mercy

It's a time to bury the priest
On the down of Meggido your grave is dig
The sky turns as black as spell
Haunting my eyes and my mind
Funeral rites

You are chosen by Hell
Dig your sepulchre
We force you to come in
And we'll bury you alive

Black songs are heard with the funeral
Rotting corpses mutilated over the ground
Graves will be violated
And corpses will be stolen

Funeral rites"
12,sepultura,Morbid Visions,Empire Of The Damned,"There is an empire in the boundaries of hell
Where only the dead can reach and only the demons reign
Place of lust, blasphemy and eternal darkness
Where the ritual sacrifices are offered to the master

Illusions of darkness
Power of death
Strength of hell
Empire of the damned

On the Black Hills of Megiddo you'll find
A place so cold as the mist, so dark as the night
Black armies marching to the hills
To make the power of the reign of darkness grow

The exterminating angel
He's there's to be emperor
To command Nospheratus
Creature of crypts
Die

From the eternal darkness
A blade will shine
Saints and Gods will judged
Killed and buried

One day this empire will be discovered
For the judgement of mankind
Gnash of teeth and endless cries will be heard
The hell there's to bury, the heaven there's to dethrone

Die, die"
13,sepultura,Morbid Visions,The Curse,"The curse is launched, beware
The Lord of Death declared the war
Satanas is invoked to destroy
And to command the bestial
Devastation"
14,sepultura,Morbid Visions,Bestial Devastation,"A legion of demons
Born from boundaries of death
Like a onslaught of evil
To destroy this Earth

Covering the morbid skies
Like a mist of sulphur
I can see Satanas
The cursed of death
Terminate masses and reigns
With blood axes of hate
The beasts of son of devil
Tormenting the preachers of Christ

The humans try to react
To this nuclear war
Which is like a endless pain
Burning in the fire of Hell"
15,sepultura,Morbid Visions,Antichrist,"Born from Hell
The supreme force of evil
To destroy the altar
And slaughter the Christians born

Churches will be destroyed
Crosses will be broken
He's laughing in blasphemy
Like a domination of death

Antichrist

The war is started
Heaven's on fire
From the deep of Hell
Leaving words of hate

Antichrist

The terror is declared
The final fight started
The Antichrist and Lucifer
Fighting with angels and God

Antichrist"
16,sepultura,Morbid Visions,Necromancer,"The misfits high in this night
Can feel the presence of death
Way to the mortuary
So the deaths invoke
Corpses and skulls
In my contour
See a corpse's blood
With the face
In cruciform
All will be for wrath

Catch the skulls
Of a children
Frozen and dismal
Coming with me
Creature
Kill in name of Hell
The black mess
Is started
Lifes will terminate
With the wrath
Of the demons
Started the genocide

Wrath
In my corpus is born
Death
Lost legions from Hell
Slaughter
You'll see in sacrifice
Skulls
Are christians with blood
Necromancer
Deads invoker
Necromancer
Deads invoker
Wrath, odious, desire
In my corpus is born
The fates last, terror's spread
For a necros creature of
The crypts"
17,sepultura,Morbid Visions,Warriors Of Death,"Marching over the mist
Leaving behind the weakest
Going this endless war
Like a torment's nightmare

Over the devastated ruins
I raised a sign
The sign of hate
For a masses despair

To revenge the years
Arrested in abyss
Where Jesus Christ
Made his suffer

But the final command
Is happening here now
Which I see is the ruins
And warriors marching to death"
18,sepultura,Morbid Visions,Necromancer,"The misfits high in this night
Can feel the presence of death
Way to the mortuary
So the deaths invoke
Corpses and skulls
In my contour
See a corpse's blood
With the face
In cruciform
All will be for wrath

Catch the skulls
Of a children
Frozen and dismal
Coming with me
Creature
Kill in name of Hell
The black mess
Is started
Lifes will terminate
With the wrath
Of the demons
Started the genocide

Wrath
In my corpus is born
Death
Lost legions from Hell
Slaughter
You'll see in sacrifice
Skulls
Are christians with blood
Necromancer
Deads invoker
Necromancer
Deads invoker
Wrath, odious, desire
In my corpus is born
The fates last, terror's spread
For a necros creature of
The crypts"
19,sepultura,Morbid Visions,Anticop,"You guys are not tired, are you?
(No!)
So, we tried to wake you up, playing something really old and really fast
It used to be called ""Antichrist""
We changed the lyrics, we have some fucking problems with the police
Now it's called ""Anticop - Fuck the Police""

Fuck

Police suck
Fucking fags
Cops in my house
Cops in the bus

Kill some cops
Fuck them up
All the police
Fucking die

Anticop
Anticop
Anticop

I hate cops
Lousy cops
Stick your gun
Up your ass

Anticop
Anticop
Anticop

I hate cops
Lousy cops
Stick your gun
Up your fuckin' ass

Anticop
Anticop
Anticop"
20,sepultura,Schizophrenia,Intro,"<span style=""padding:1em""><img alt=""TrebleClef"" class=""lzy lzyPlcHld "" data-image-key=""TrebleClef.png"" data-image-name=""TrebleClef.png"" data-src=""https://vignette.wikia.nocookie.net/lyricwiki/images/1/1e/TrebleClef.png/revision/latest/scale-to-width-down/30?cb=20090423154754"" height=""68"" onload=""if(typeof ImgLzy==='object'){ImgLzy.load(this)}"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""30""/><noscript><img alt=""TrebleClef"" class="""" data-image-key=""TrebleClef.png"" data-image-name=""TrebleClef.png"" height=""68"" src=""https://vignette.wikia.nocookie.net/lyricwiki/images/1/1e/TrebleClef.png/revision/latest/scale-to-width-down/30?cb=20090423154754"" width=""30""/></noscript></span> Instrumental"
21,sepultura,Schizophrenia,From The Past Comes The Storms,"The sky throws up storms trying to avenge itself
You feel a pain that burns your flesh
Your reflection inside the mirror
Shows a past soiled by the blood of innocents
The human greed will be their own destruction
The apes in their cages surrounded by thorns
That are forcing us to live here

I feel an urge to melt and go through cracks
To vanish like a fossil that will be found
Flying on the universe
Brains of armed lives hidden in pits
It's a fight of dwarves strengthening the giants
They are sons of the same father, fruit of the same mother
All of them cry together in despair

But what's heard is only the buzz of flies
Over the rotten flesh
There's no more safe ground to be on
Everybody around you reflects an image
Distorted and wounded
I can hear the cry of a million souls
That have been already marked by their deaths
While the laughs of satisfaction echo endlessly...

Insanity - lacerating the last sanity
Endlessly - still remains on minds
Lunacy - masses smashed by a holy shit
No regret - from the past comes the storms

The sky throws up storms trying to avenge itself
You feel a pain that burns your flesh
Your reflection inside the mirror
Shows a past soiled by the blood of innocents
The human greed will be their own destruction
The apes in their cages surrounded by thorns
That are forcing us to live here"
22,sepultura,Schizophrenia,To The Wall,"""To the wall!"" claims the soldier
My last steps march to the dead
Last wills! Hell! This is idiotism
Fuck off to me, fuck off to all of you

To the death, I raise my head
My last moments, it's my existing countdown
A cry for mercy trapped in my throat
But even in hell, there's a place for cowards

The burning sun over my head
The troop is comin', compassion I dismiss
Sentence of death pounding on my back
There's no hiding when you're thrown against the wall

""To Paradise,"" the priest is saying, blessing my death
He's standing in front of me, his merciful sight sickens me
He says that soon I'll have my judgement
I'll kneel down in front of the Lord

And he asks me to regret my sins, but it's too late
Growling words from the bible, raising my agony
Oh God! How I'd like to have my hands untied

The wall I'm facing now
Seeing my life going through my eyes
Feeling death behind my back
An acrid taste of defeat tormenting my last years
And when I feel my body being punched, smashed
There's no pain, just silence
My last breath echoing, spreading through the air
My body in pieces, a stream of blood

Bloody drops whipping the wall
The silent wall that has understood my silence
The silence that was a prisoner of my soul
Is my soul that now is the ruler of the world

To the wall"
23,sepultura,Schizophrenia,Escape To The Void,"The pest in the eyes of death follows us
Through the dirty streets of blood
It begins to eat inside us, decaying our bones
How will we escape if the void covers our lungs?
We are buried in the spewed trash for ourselves

Blood, pain - nothing to say
Why then must we die?

Escape to the void
Escape to the void

I look at my face on the other side of the mirror
My face falls down in pieces full of worms
I burst my rotten heart with my own hands
I'm dying and I can't help myself

Blood, pain - nothing to say
Why then must we die?

What have I been running from?
I'm not guilty
You've shown me the worst way
'Cause you're my victim, the next one

The pest in the eyes of death follows us
Through the dirty streets of blood
It begins to eat inside us, decaying our bones
How will we escape if the void covers our lungs?
We are buried in the spewed trash for ourselves

Blood, pain - nothing to say
Why then must we die?

Escape to the void
Escape to the void"
24,sepultura,Schizophrenia,Inquisition Symphony,"<span style=""padding:1em""><img alt=""TrebleClef"" class=""lzy lzyPlcHld "" data-image-key=""TrebleClef.png"" data-image-name=""TrebleClef.png"" data-src=""https://vignette.wikia.nocookie.net/lyricwiki/images/1/1e/TrebleClef.png/revision/latest/scale-to-width-down/30?cb=20090423154754"" height=""68"" onload=""if(typeof ImgLzy==='object'){ImgLzy.load(this)}"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""30""/><noscript><img alt=""TrebleClef"" class="""" data-image-key=""TrebleClef.png"" data-image-name=""TrebleClef.png"" height=""68"" src=""https://vignette.wikia.nocookie.net/lyricwiki/images/1/1e/TrebleClef.png/revision/latest/scale-to-width-down/30?cb=20090423154754"" width=""30""/></noscript></span> Instrumental"
25,sepultura,Schizophrenia,Screams Behind The Shadows,"Death comes from the unknown
Darkened by its own existence
The end no longer exists when the spirit leaves the body
Phenomenon that mankind would rather forget

Shadows and cries
Are found together trapped inside the world
Hateful was your life in the past
To torment someone is your present destiny

I feel pleasure seeing your agony
It bursts my insane subconscious
From life I took nothin' but insults
From death I got irrational pleasure

Is it possible to feel satisfied after death?
Yeah, life has marked you with despair and takedown
Death welcomes you as a seed lost in oblivion
As a bastard son the world has rejected

Life betrays you on each step
On each body that faces you

On each soul that meets you
On each tomb that is closed"
26,sepultura,Schizophrenia,Septic Schizo,"At the time of my last pain
I scream, so I can run away
What I see in front of me
Is only the reflection of my insanity

Throwing me to the present
Alone almost is despair
My head throws itself against the wall
Making my blood flow free of me
To be born again, it'll be a sad destiny
To seek death when it's inside of myself
I throw up trying to put it out
I try to sleep sitting on the cold ground

Reminders from the past
Repulsion of the present
Fear of the future
Septic schizo

Reminders from the past
Repulsion of the present
Fear of the future
Septic schizo

Reminders from the past
Repulsion of the present
Fear of the future
Septic schizo

Stained by blood on the face
I see that my life goes by in front of me
As an old movie, I feel not proud
Of anything I've done
I scorn myself with anguish

My nerves are blowing
Inside of me my skin burns
I sink my toes on the ground
I wanna quit; but I don't wanna enter another place

I'm marked and wounded, the decaying of my thoughts
The rotten smell on my skin
The cold body, thrown and forgotten
I can see the things, but I'm blinded to the world..."
27,sepultura,Schizophrenia,The Abyss,"<span style=""padding:1em""><img alt=""TrebleClef"" class=""lzy lzyPlcHld "" data-image-key=""TrebleClef.png"" data-image-name=""TrebleClef.png"" data-src=""https://vignette.wikia.nocookie.net/lyricwiki/images/1/1e/TrebleClef.png/revision/latest/scale-to-width-down/30?cb=20090423154754"" height=""68"" onload=""if(typeof ImgLzy==='object'){ImgLzy.load(this)}"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""30""/><noscript><img alt=""TrebleClef"" class="""" data-image-key=""TrebleClef.png"" data-image-name=""TrebleClef.png"" height=""68"" src=""https://vignette.wikia.nocookie.net/lyricwiki/images/1/1e/TrebleClef.png/revision/latest/scale-to-width-down/30?cb=20090423154754"" width=""30""/></noscript></span> Instrumental"
28,sepultura,Schizophrenia,R.I.P. (Rest In Pain),"Fast death, disenchanted by life
Marked by envy and scorn
Show to the world his mortal hate
Die with regret
There's no light and there's no air
The rose's smell corrodes me
A deep agony possesses me
To be forgotten under a burial

Rest in pain
Rest in pain
Rest in pain

You wake up lying on wet ground
Worms corrode your flesh
Pick up your own eyes
Watch your septic end
To shout at someone and not to be heard
The silence supports the paranoia
To die crying, this is my fate
The life I choose

Schizophrenia
Paranoia
Insane death
Rest in pain

Fast death, disenchanted by life
Marked by envy and scorn
Show to the world his mortal hate
Die with regret
There's no light and there's no air
The rose's smell corrodes me
A deep agony possesses me
To be forgotten under a burial

Rest in pain
Rest in pain"
